J162550.51-243914.7	K5.5	Class III
J162556.09-243015.3	M5	Class III
J162557.51-243032.1	K6	Class III
J162603.01-242336.4	K0	Class III
J162607.63-242741.7	–	Class III
J162610.32-242054.9	M0	Class II
J162616.84-242223.5	K6	Class II
J162621.72-242250.7	–	Class I
J162622.38-242253.3	K8	Class II
J162623.57-242439.6	M0	FS
J162624.08-241613.5	K5.5	Class II
J162625.62-242429.2	–	Class I
J162626.31-242430.3	–	Class 0 (?)
J162626.39-242430.9	–	Class 0
J162629.67-241905.8	M1.5	Class III
J162634.17-242328.4	B4	Class III
J162642.44-242626.1	–	Class III
J162643.76-241633.4	M0	Class III
J162649.23-242003.3	K6	Class III
J162658.38-242130.5	–	Class II
J162659.16-243458.9	–	Class I
J162702.33-243727.3	B8-A7	Class I
J162705.16-242007.8	–	Class III
J162705.25-243629.8	–	Class I
J162705.96-242618.9	–	Class II
J162709.41-243719.0	–	Class I
J162715.69-243845.7	BD?	–
J162718.17-242852.9	F7	Class III
J162719.50-244140.4	M2.5	Class III
J162721.81-244336.0	M3	Class III
J162721.97-242940.0	–	Class II
J162722.96-242236.6	BD	–
J162724.19-242929.6	–	Class III
J162726.90-244050.8	–	Class I
J162727.36-243116.8	M0	Class II
J162728.00-243933.7	K8	Class I
J162730.82-244727.2	M1	Class III
J162731.05-243403.4	–	Class III
J162732.68-243324.5	M2	Class II
J162739.41-243915.8	K5	Class II
J162741.49-243537.6	–	Class III
J162749.85-242540.5	A7	Class III
J162751.80-243145.9	–	Class I
J162751.89-244630.1	–	Class III
J162752.08-244050.5	K7	–
J162757.81-244001.9	K7	Class III
J162759.95-244819.5	M4.75	WTTS
J162804.65-243456.6	–	Class II
J163035.63-243418.9	K5	CTTS
J163115.01-243243.9	M0	WTTS
J163115.75-243402.8	K6	WTTS
J163120.18-243001.0	K3e	WTTS
J163152.10-245615.7	M3	FS
J163200.97-245643.3	K5	Class I
J163211.79-244021.8	M3	WTTS/Class II
J163421.10-235625.1	M4.5	WTTS
