# GB_VLA Name		Flux_4.5GHz (mJy)		Variable (%)	Flux_7.5GHz (mJy)		Variable (%)	Spectral Index
J162540.94-244147.2	(4.39 ± 0.43 ± 0.22)×10−1	16.2 ± 11.9	(2.94 ± 0.42 ± 0.15)×10−1	>56.2 ± 12.3	−0.81 ± 0.38
J162547.68-243735.7	(4.19 ± 0.21 ± 0.21)×10−1	28.5 ± 8.6	(4.06 ± 0.28 ± 0.20)×10−1	51.3 ± 15.0	−0.06 ± 0.22
J162548.96-244049.5	(6.49 ± 0.34 ± 0.32)×10−1	41.7 ± 5.4	(2.92 ± 0.32 ± 0.15)×10−1	>66.9 ± 4.3	−1.61 ± 0.28
J162550.51-243914.7	(3.57 ± 0.25 ± 0.18)×10−1	78.2 ± 5.3	(2.84 ± 0.18 ± 0.14)×10−1	41.4 ± 13.1	−0.46 ± 0.24
J162551.91-242917.0	(1.71 ± 0.35 ± 0.09)×10−1	21.4 ± 19.7	(1.15 ± 0.24 ± 0.06)×10−1	>17.4 ± 37.5	−0.8 ± 0.61
J162556.09-243015.3	(6.72 ± 0.15 ± 0.34)×10−1	31.4 ± 3.3	(6.76 ± 0.24 ± 0.34)×10−1	10.5 ± 4.5	0.01 ± 0.17
J162557.51-243032.1	(4.61 ± 0.17 ± 0.23)×10−1	55.8 ± 3.3	(4.07 ± 0.17 ± 0.20)×10−1	56.1 ± 4.5	−0.25 ± 0.18
J162603.01-242336.4	(2.67 ± 0.09 ± 0.13)×10+0	81.7 ± 0.6	(2.52 ± 0.09 ± 0.13)×10+0	84.9 ± 1.0	−0.12 ± 0.18
J162607.63-242741.7	(2.10 ± 0.21 ± 0.10)×10−1	>79.5 ± 1.0	(1.01 ± 0.21 ± 0.05)×10−1	>67.0 ± 3.6	−1.48 ± 0.49
J162607.63-243648.9	(5.83 ± 0.17 ± 0.29)×10−1	37.1 ± 3.1	(3.67 ± 0.14 ± 0.18)×10−1	39.4 ± 7.4	−0.94 ± 0.17
J162610.32-242054.9	(1.00 ± 0.12 ± 0.05)×10-1	>56.1 ± 5.6	(1.60 ± 0.22 ± 0.08)×10−1	53.4 ± 16.7	0.95 ± 0.40
J162610.55-242853.3	(2.09 ± 0.15 ± 0.10)×10−1	24.2 ± 10.0	(1.68 ± 0.19 ± 0.08)×10−1	43.0 ± 17.0	−0.44 ± 0.31
J162611.08-242907.4	(4.51 ± 0.10 ± 0.23)×10−1	16.2 ± 4.4	(2.98 ± 0.16 ± 0.15)×10−1	42.4 ± 6.5	−0.84 ± 0.18
