#sourcename, flux, flux_err, ra, dec, ra_err, dec_err, bmaj, bmin, pos_angle, rms
SERPS_lower_try2.S1 0.000749114389529 6.67190636673e-06 -82.4596673498 -2.00911871188 0.0210646019604 0.0174099009165 4.85545632097 3.83558243872 16.1784404067 3.4238819353e-05
SERPS_lower_try2.S2 0.000177341039815 7.61549623346e-06 -82.4800359276 -2.0097841873 0.101564145704 0.0839428020857 5.09098684699 4.56095490242 3.47593073859 3.4238819353e-05
SERPS_lower_try2.S3 0.000140998948065 2.77635330168e-06 -82.4893178424 -2.01353134706 0.0465704357606 0.038490481508 5.80199061355 4.39266752698 55.0944461965 3.4238819353e-05
SERPS_lower_try2.S4 0.00166392362196 3.28037843958e-05 -82.493572592 -2.01436821485 0.0466274870669 0.0385376344327 5.86617995049 4.4878508658 20.77535451 3.4238819353e-05
SERPS_lower_try2.S5 0.000106549055867 5.82602689227e-06 -82.4382704283 -2.02429807354 0.129322567293 0.106885147275 4.91954304032 4.16744807659 30.3686721989 3.4238819353e-05
SERPS_lower_try2.S6 7.95499491304e-05 7.11426550009e-06 -82.4725854337 -2.02467398868 0.211515208236 0.174817393875 7.06048039553 3.23550471704 33.9366308851 3.4238819353e-05
SERPS_lower_try2.S7 4.8820449804e-05 4.2500298573e-06 -82.4756408194 -2.02893061197 0.205893033775 0.170170664709 5.59150972518 3.77969094085 135.089905435 3.4238819353e-05
SERPS_lower_try2.S8 3.97719990105e-05 3.64130645955e-06 -82.4710236807 -2.03669930034 0.216536569295 0.178967550552 4.56807667453 3.1055907622 3.46103236953 3.4238819353e-05
SERPS_lower_try2.S9 6.66821812211e-05 1.50994331928e-06 -82.4881524394 -2.04035251953 0.0535552811276 0.0653129699329 6.63187262354 3.4768694717 174.101818168 3.4238819353e-05
SERPS_lower_try2.S10 0.000287506360505 6.75090051983e-06 -82.4877516966 -2.04268567277 0.0555348639168 0.133328587703 8.3025926155 5.2489942929 170.841619216 3.4238819353e-05
SERPS_lower_try2.S11 3.89102230868e-05 2.5797486538e-06 -82.4859318843 -2.04600459829 0.156806877617 0.129600939409 5.8054618592 3.35487157713 163.451826499 3.4238819353e-05
