#sourcename, flux, flux_err, ra, dec, ra_err, dec_err, bmaj, bmin, pos_angle, rms
SERPS_lower.S1 8.62718803519e-05 4.37576530881e-06 -82.438261168 -2.0242541804 0.121153587575 0.0992425724485 4.82285068044 4.05736543209 30.1471246818 3.80641686206e-05
SERPS_lower.S2 0.000709328010294 5.18176578698e-06 -82.4596739478 -2.00911548223 0.0174494687072 0.0142936762917 4.78527504295 3.80424381077 14.7407646107 3.80641686206e-05
SERPS_lower.S3 4.00797827867e-05 4.66550798934e-06 -82.4745623973 -2.01321627697 0.278051405222 0.227764916248 4.25058219884 3.47999846404 144.680652871 3.80641686206e-05
SERPS_lower.S4 0.00022751514831 1.07796114045e-05 -82.4800619115 -2.00975144353 0.11317338594 0.0927056158898 6.09097234749 4.90840172324 178.418127318 3.80641686206e-05
SERPS_lower.S5 0.000131021500242 1.10128930718e-05 -82.4892866102 -2.01354691351 0.20077534245 0.164464477428 7.7755980202 3.90673102721 75.932714861 3.80641686206e-05
SERPS_lower.S6 0.00167062684233 2.98637908912e-05 -82.4935749548 -2.01437680534 0.0426989321401 0.0349766932306 5.88789381367 4.49604913991 21.433424925 3.80641686206e-05
SERPS_lower.S7 7.43887298419e-05 5.50853059764e-06 -82.4725772104 -2.02461055774 0.176880580195 0.144891159611 6.51012493554 3.46391621269 39.5386576476 3.80641686206e-05
SERPS_lower.S8 4.62055555933e-05 5.61484473524e-06 -82.4757972927 -2.02888028164 0.290265281039 0.237769873426 5.11765991977 3.71634168606 161.613966038 3.80641686206e-05
SERPS_lower.S9 5.63732917765e-05 6.42369368828e-06 -82.4904900308 -2.03335348265 0.272184233598 0.222958841442 5.82952602211 4.44574009356 63.9607383084 3.80641686206e-05
SERPS_lower.S10 0.000334374091868 7.38139316575e-05 -82.4877222577 -2.04305341255 0.649023742143 6.14585258005 26.0942715343 3.7869005788 174.2949363 3.80641686206e-05
SERPS_lower.S11 0.000267813449009 1.98082543698e-05 -82.4876768815 -2.04262708581 0.176671032636 0.144719509401 8.75367613005 5.08140717518 165.594459177 3.80641686206e-05
SERPS_lower.S12 0.000325622540449 1.62464600466e-05 -82.4877450819 -2.04257033697 0.119177925603 0.109150854897 10.7204865654 5.08062894239 146.860900024 3.80641686206e-05
SERPS_lower.S13 7.0066547704e-05 6.36522990245e-06 -82.4858562504 -2.04627892349 0.216997583741 0.17775287432 7.79840505426 3.97548963681 168.754579652 3.80641686206e-05
