#CRTFv0 CASA Region Text Format version 0
ellipse [[18:30:03.538, -2.03.08.52], [15arcsec, 15arcsec], 90deg]
ellipse [[18:30:03.855, -2.03.12.19], [15arcsec, 15arcsec], 90deg]
ellipse [[18:30:04.099, -2.03.02.57], [15arcsec, 15arcsec], 90deg]
ellipse [[18:30:04.589, -2.03.13.95], [15arcsec, 15arcsec], 90deg]
ellipse [[18:30:03.247, -2.03.26.55], [15arcsec, 15arcsec], 90deg]
ellipse [[18:30:03.353, -2.02.46.12], [15arcsec, 15arcsec], 90deg]
ellipse [[18:30:02.933, -2.02.31.77], [15arcsec, 15arcsec], 90deg]
ellipse [[18:30:03.048, -2.02.35.45], [15arcsec, 15arcsec], 90deg]
ellipse [[18:30:05.803, -2.01.44.70], [15arcsec, 15arcsec], 90deg]
ellipse [[18:30:01.531, -2.00.51.85], [15arcsec, 15arcsec], 90deg]
ellipse [[18:30:02.547, -2.00.48.52], [15arcsec, 15arcsec], 90deg]
ellipse [[18:30:06.631, -2.01.28.95], [15arcsec, 15arcsec], 90deg]
ellipse [[18:30:04.788, -2.00.34.17], [15arcsec, 15arcsec], 90deg]
ellipse [[18:30:09.679, -2.00.32.95], [15arcsec, 15arcsec], 90deg]
ellipse [[18:30:14.782, -2.01.27.37], [15arcsec, 15arcsec], 90deg]
ellipse [[18:30:01.308, -2.03.42.82], [15arcsec, 15arcsec], 90deg]
ellipse [[18:30:09.387, -2.04.08.72], [15arcsec, 15arcsec], 90deg]
ellipse [[18:30:00.012, -2.03.59.45], [15arcsec, 15arcsec], 90deg]
ellipse [[18:30:02.254, -2.01.59.57], [15arcsec, 15arcsec], 90deg]
ellipse [[18:30:06.106, -2.00.46.60], [15arcsec, 15arcsec], 90deg]
ellipse [[18:30:02.811, -2.02.25.40], [15arcsec, 15arcsec], 90deg]
