# Approximate fk5 RA and DEC of Detected Sources from 2013 VLA imaging of Serpens South
# 1/26/14
# Nicholas Kern: nkern@umich.edu

RA,DEC,ID
18:30:03.540,-2:03:08.50,15
18:30:03.857,-2:03:12.17,16
18:30:04.102,-2:03:02.55,14
18:30:04.591,-2:03:13.93,17
18:30:03.250,-2:03:26.53,18
18:30:03.355,-2:02:46.10,13
18:30:02.935,-2:02:31.75,11
18:30:03.050,-2:02:35.43,12
18:30:05.806,-2:01:44.68,8
18:30:01.534,-2:00:51.83,6
18:30:02.549,-2:00:48.50,5
18:30:06.634,-2:01:28.93,7
18:30:04.790,-2:00:34.15,4
18:30:09.682,-2:00:32.93,2
18:30:14.784,-2:01:27.35,1
18:30:01.310,-2:03:42.80,19
18:30:09.389,-2:04:08.70,21
18:30:00.014,-2:03:59.43,20
18:30:02.256,-2:01:59.55,9
18:30:06.108,-2:00:46.58,3
18:30:02.813,-2:02:25.38,10
