# Approximate Image Pixel value of Detected Sources from 2013 VLA imaging of Serpens South
# 1/26/14
# Nicholas Kern: nkern@umich.edu 

# RA, DEC, ID
1056.2656,970.00001,15
1049.4814,964.75689,16
1044.2391,978.50016,14
1033.7544,962.24309,17
1062.4844,944.24301,18
1060.2232,1001.9999,13
1069.2176,1022.4998,11
1066.7506,1017.2428,12
1007.748,1089.7427,8
1099.2341,1165.2426,6
1077.4933,1170,5
990.01613,1112.2427,7
1029.4887,1190.5001,4
924.74166,1192.2424,2
815.4737,1114.4973,1
1104.0117,920.99958,19
931.01559,883.99965,21
1131.7648,897.24235,20
1083.763,1068.5,9
1001.2718,1172.7428,3
1071.8388,1031.6001,10
