#ID	RA		DEC		V_LSR	T_peak	R_core	R_core	Aspect	d_vel	M_LTE	M_vir	alpha	n	area
24	18 30 00.2	−01 59 55.6	7.37	0.91	29.6	0.0596	1.13	0.518	13.10	6.49	0.50	2.56	n
25	18 30 00.7	−02 02 19.9	7.04	0.97	47.7	0.0961	1.16	0.733	18.03	15.86	0.88	0.84	c
26	18 30 00.8	−02 06 15.3	7.43	0.65	22.7	0.0458	1.01	0.285	1.75	3.19	1.82	0.76	s
27	18 30 01.0	−02 07 11.9	7.91	0.69	32.0	0.0644	1.12	0.533	2.74	7.23	2.64	0.42	s
28	18 30 01.2	−02 01 22.6	7.96	0.91	19.9	0.0400	1.01	0.353	3.84	3.15	0.82	2.49	c
29	18 30 01.3	−02 04 21.3	7.70	0.59	38.3	0.0771	1.22	0.418	3.81	6.89	1.81	0.34	c
30	18 30 01.3	−02 04 18.0	6.54	0.66	38.7	0.0779	1.13	0.540	3.54	8.85	2.50	0.31	c
31	18 30 01.5	−02 01 26.1	7.49	0.98	22.0	0.0444	1.38	0.338	3.39	3.40	1.00	1.61	c
32	18 30 01.6	−02 07 18.3	5.30	0.69	21.3	0.0428	2.02	0.078	0.79	2.31	2.93	0.42	s
33	18 30 01.8	−02 05 29.5	7.87	0.70	36.1	0.0727	1.23	0.466	4.91	7.14	1.46	0.53	c
34	18 30 02.0	−02 01 00.6	7.04	0.95	38.4	0.0773	1.00	0.449	10.90	7.34	0.67	0.98	c
35	18 30 02.5	−02 02 12.9	7.90	1.04	42.2	0.0849	1.07	0.513	14.22	9.14	0.64	0.96	c
36	18 30 03.0	−02 03 01.2	7.22	1.65	49.0	0.0986	1.29	0.296	22.11	7.01	0.32	0.95	c
37	18 30 03.1	−02 03 07.4	6.75	1.21	43.9	0.0884	1.16	0.450	15.01	8.41	0.56	0.90	c
38	18 30 03.1	−02 04 41.6	7.07	1.39	46.6	0.0937	1.29	0.595	19.75	11.87	0.60	0.99	c
39	18 30 03.4	−02 03 15.0	7.71	1.48	54.1	0.1088	1.30	0.545	39.86	12.49	0.31	1.28	c
40	18 30 03.5	−02 00 45.1	7.58	0.65	28.0	0.0564	1.42	0.319	3.13	4.18	1.33	0.72	c
41	18 30 03.7	−02 06 12.3	7.62	0.75	24.8	0.0499	1.28	0.545	3.66	5.73	1.57	1.22	s
42	18 30 03.8	−01 59 54.4	7.19	0.61	40.9	0.0823	1.47	0.468	9.98	8.12	0.81	0.74	n
43	18 30 04.0	−02 03 58.2	6.88	1.20	33.0	0.0664	2.01	0.579	13.74	8.16	0.59	1.94	c
44	18 30 04.3	−02 01 45.5	7.49	0.90	34.2	0.0687	1.38	0.503	9.76	7.27	0.74	1.24	c
45	18 30 05.0	−02 05 01.8	6.68	0.68	33.4	0.0672	1.30	0.384	3.94	5.62	1.43	0.54	c
46	18 30 05.3	−02 05 27.5	7.41	0.60	30.5	0.0613	1.08	0.455	5.30	5.88	1.11	0.95	c
47	18 30 05.4	−02 01 06.8	6.80	0.59	41.5	0.0834	1.18	0.697	5.59	12.88	2.30	0.40	c
48	18 30 06.1	−02 06 12.5	7.56	0.61	21.8	0.0439	1.02	0.541	2.44	5.00	2.05	1.20	s
49	18 30 06.2	−02 04 44.1	7.54	0.68	30.3	0.0610	1.24	0.460	5.29	5.91	1.12	0.96	c
50	18 30 06.8	−02 05 20.5	6.93	0.94	34.5	0.0695	1.33	0.477	9.09	6.98	0.77	1.12	c
51	18 30 07.0	−02 07 04.4	7.51	0.82	20.8	0.0419	1.29	0.391	1.37	3.55	2.59	0.77	s
52	18 30 07.1	−02 03 15.8	7.58	0.70	34.9	0.0703	1.41	0.507	5.62	7.48	1.33	0.67	c
53	18 30 07.2	−02 01 05.6	7.76	0.61	36.5	0.0735	1.27	0.422	3.68	6.61	1.79	0.38	c
54	18 30 07.8	−02 06 26.2	7.14	0.59	24.7	0.0496	1.59	0.401	1.90	4.29	2.25	0.65	s
55	18 30 07.9	−02 04 13.1	6.86	0.64	29.0	0.0584	1.09	0.244	2.45	3.81	1.55	0.51	c
