#Index  RA  Dec  Class
1  277.57282  -2.1662289  I
2  277.57085  -2.1662735  I
3  277.57776  -2.1489385  I
4  277.53633  -2.1027775  I
5  277.50437  -2.1023681  I
6  277.51497  -2.0747287  I
7  277.58697  -2.0727589  I
8  277.51860  -2.0710223  I
9  277.50548  -2.0619096  I
10  277.52834  -2.0604066  I
11  277.52206  -2.0571813  I
12  277.51030  -2.0511834  I
13  277.52607  -2.0511138  I
14  277.51023  -2.0494008  I
15  277.51413  -2.0459534  I
16  277.51189  -2.0445503  I
17  277.51323  -2.0430032  I
18  277.50275  -2.0346264  I
19  277.52416  -2.0328509  I
20  277.49594  -2.0326024  I
21  277.50522  -2.0300884  I
22  277.52419  -2.0289637  I
23  277.51834  -2.0272647  I
24  277.50468  -2.0243449  I
25  277.49558  -2.0237275  I
26  277.49378  -2.0234522  I
27  277.49066  -2.0214089  I
28  277.48850  -2.0207950  I
29  277.52552  -2.0189089  I
30  277.49782  -2.0183841  I
31  277.50095  -2.0145444  I
32  277.50986  -2.0023564  I
33  277.48783  -1.9960537  I
34  277.47655  -1.9731488  I
35  277.46808  -1.9626912  I
36  277.49317  -1.9611224  I
37  277.46734  -1.9602624  I
38  277.50029  -1.9543486  I
39  277.44729  -1.9343249  I
40  277.50236  -2.0364531  I
41  277.50948  -2.0331573  I
42  277.52145  -2.0281972  I
43  277.49220  -2.0210660  I
44  277.52306  -2.0189009  I
45  277.52149  -2.0179108  I
46  277.50109  -2.0043009  I
47  277.49666  -2.0036604  I
48  277.46834  -1.9396499  I
49  277.57808  -2.1367844  I
50  277.54504  -2.0651914  I
51  277.49952  -2.0598007  I
52  277.52179  -2.0351249  I
53  277.49132  -2.0175568  I
54  277.47398  -1.9630218  I
55  277.54846  -2.1019706  II
56  277.52202  -2.0427872  II
57  277.56765  -2.1579601  II
58  277.59138  -2.1533568  II
59  277.44018  -2.1458843  II
60  277.47662  -2.1321508  II
61  277.57634  -2.1301276  II
62  277.47215  -2.1255036  II
63  277.53880  -2.1231514  II
64  277.56521  -2.1221209  II
65  277.51909  -2.1109302  II
66  277.54118  -2.1092823  II
67  277.60131  -2.1062803  II
68  277.51314  -2.0874572  II
69  277.45755  -2.0861694  II
70  277.51614  -2.0857647  II
71  277.45229  -2.0847232  II
72  277.59500  -2.0740726  II
73  277.48081  -2.0712601  II
74  277.51229  -2.0617027  II
75  277.52140  -2.0607773  II
76  277.51347  -2.0571639  II
77  277.55494  -2.0523416  II
78  277.52584  -2.0387665  II
79  277.52131  -2.0382984  II
80  277.51251  -2.0258396  II
81  277.51684  -2.0231491  II
82  277.52243  -2.0073734  II
83  277.51505  -2.0061020  II
84  277.49500  -2.0011278  II
85  277.53016  -1.9887922  II
86  277.49592  -1.9705902  II
87  277.49259  -1.9681028  II
88  277.51575  -1.9672392  II
89  277.45467  -1.9630514  II
90  277.45200  -1.9588271  II
91  277.52890  -1.9421033  II

